solver,jobs,elapsed,value
GurobiSolver,1,1.0750000001280569e-06,
CombinatorialBnB,1,8.240000397563563e-07,
GurobiSolver,1,2.7029999500882695e-06,
CombinatorialBnB,1,8.78000037118909e-07,
GurobiSolver,1,1.0590000556476298e-06,
CombinatorialBnB,1,9.220000265486306e-07,
GurobiSolver,1,1.1650000715235365e-06,
CombinatorialBnB,1,9.679999948275508e-07,
GurobiSolver,1,9.100000397666008e-07,
CombinatorialBnB,1,1.0679999604690238e-06,
GurobiSolver,1,1.1580000318645034e-06,
CombinatorialBnB,1,9.749999207997462e-07,
GurobiSolver,1,1.1460000450824737e-06,
CombinatorialBnB,1,1.194999981635192e-06,
GurobiSolver,1,9.550000186209218e-07,
CombinatorialBnB,1,9.469999895372894e-07,
GurobiSolver,1,1.416000031895237e-06,
CombinatorialBnB,1,9.530000397717231e-07,
GurobiSolver,1,1.0600000450722291e-06,
CombinatorialBnB,1,1.0129999736818718e-06,
GurobiSolver,1,1.10500002392655e-06,
CombinatorialBnB,1,8.279999974547536e-07,
GurobiSolver,1,1.1840000979645993e-06,
CombinatorialBnB,1,1.1289999974906095e-06,
GurobiSolver,1,9.85000042419415e-07,
CombinatorialBnB,1,8.549999392926111e-07,
GurobiSolver,1,1.0449999763295637e-06,
CombinatorialBnB,1,8.859999525157036e-07,
GurobiSolver,1,8.800000159681076e-07,
CombinatorialBnB,1,1.194999981635192e-06,
GurobiSolver,1,8.980000529845711e-07,
CombinatorialBnB,1,1.0090000159834744e-06,
GurobiSolver,1,1.3000000080864993e-06,
CombinatorialBnB,1,8.410000873482204e-07,
GurobiSolver,1,9.479999789618887e-07,
CombinatorialBnB,1,8.409999736613827e-07,
GurobiSolver,1,1.9189999420632375e-06,
CombinatorialBnB,1,1.4220000821296708e-06,
GurobiSolver,1,1.0710000424296595e-06,
CombinatorialBnB,1,1.1839999842777615e-06,
GurobiSolver,1,9.049999789567664e-07,
CombinatorialBnB,1,9.579999868947198e-07,
GurobiSolver,1,1.1010000662281527e-06,
CombinatorialBnB,1,8.129999287120881e-07,
GurobiSolver,1,1.0889999657592853e-06,
CombinatorialBnB,1,8.329999445777503e-07,
GurobiSolver,1,1.027000052999938e-06,
CombinatorialBnB,1,8.760000582697103e-07,
GurobiSolver,1,1.3779999790131114e-06,
CombinatorialBnB,1,9.730000556373852e-07,
GurobiSolver,1,1.142999963121838e-06,
CombinatorialBnB,1,1.2620000688912114e-06,
GurobiSolver,1,1.2389999710649136e-06,
CombinatorialBnB,1,1.102000055652752e-06,
GurobiSolver,1,1.0910000582953217e-06,
CombinatorialBnB,1,9.200000476994319e-07,
GurobiSolver,1,1.5540000504188356e-06,
CombinatorialBnB,1,1.0809999366756529e-06,
GurobiSolver,1,9.520000503471238e-07,
CombinatorialBnB,1,8.93999981599336e-07,
GurobiSolver,1,9.999999974752427e-07,
CombinatorialBnB,1,8.590000106778461e-07,
GurobiSolver,1,9.119999049289618e-07,
CombinatorialBnB,1,9.120000186157995e-07,
GurobiSolver,1,8.639999578008428e-07,
